01Cyberaton Proenergy SA;01CYBATON;01C
Eurotel SA;EUROTEL;ETL
Examobile SA;EXAMOBILE;EXA
Excellence SA;EXCELLENC;EXC
e-Xim IT SA;EXIMIT;EXM
Fabryka Konstrukcji Drewnianych SA;FABRYKAKD;FKD
Falcon Games SA;FALCON;FLG
Famur SA;FAMUR;FMF
Fasing SA;FASING;FSG
Fast Finance SA w restrukturyzacji;FASTFIN;FFI
Feerum SA;FEERUM;FEE
Fenghua SoleTech AG;FENGHUA;FGT
Ferro SA;FERRO;FRO
Ferrum SA;FERRUM;FER
Figene Capital SA;FIGENE;FIG
Fince Holding SA;AUTOSPA;ASP
Finhouse SA;FINHOUSE;FIN
Fintech SA;FINTECH;FTH
FinTech Ventures SA;FINVENTUR;FIV
Fiten SA w restrukturyzacji;FITEN;FTN
Fluid SA w upadłości;FLUID;FLD
Fon SE;FON;FON
Forbuild SA;BETOMAX;BTX
Forever Entertainment SA;FOREVEREN;FOR
Forposta SA;FORPOSTA;FPO
Forte SA;FORTE;FTE
Foto Volt Eko Energia SA;FOTOVOLT;FVE
Fundusz Hipoteczny Dom SA;FHDOM;FHD
Galvo SA;GALVO;GAL
Games Operators SA;GAMEOPS;GOP
Gaming Factory SA;GAMFACTOR;GIF
G-Energy SA;GENRG;GNG
Genomed SA;GENOMED;GEN
Genomtec SA;GENOMTEC;GMT
genXone SA;GENXONE;GX1
Geo-Term Polska SA;GEOTERM;GTP
Geotrans SA;GEOTRANS;GTS
Geotrekk SA;GEOTREKK;GTK
GetBack SA;GETBACK;GBK
Getin Holding SA;GETIN;GTN
Getin Noble Bank SA;GETINOBLE;GNB
GKS GieKSa Katowice SA;GKSKAT;GKS
GLG Pharma SA;GLGPHARMA;GLG
Global Cosmed SA;GLCOSMED;GLC
Globe Trade Centre SA;GTC;GTC
Go24.pl SA;GOTFI;GTF
Gobarto SA;GOBARTO;GOB
Golab SA;GOLAB;GOL
Govena Lighting SA;GOVENA;GOV
GPM Vindexus SA;VINDEXUS;VIN
GPW SA;GPW;GPW
Gremi Media SA;GRMEDIA;GME
Grempco SA;GREMPCO;GRM
Groclin SA;GROCLIN;GCN
Grodno SA;GRODNO;GRN
Grupa Azoty SA;GRUPAAZOTY;ATT
Grupa Emmerson SA;GRUPAEMM;GEM
Grupa HRC SA;GRUPAHRC;HRC
Grupa Kapitałowa Immobile SA;IMMOBILE;GKI
Grupa Kęty SA;KETY;KTY
Grupa Lotos SA;LOTOS;LTS
Grupa Recykl SA;GRUPAREC;GRC
Grupa Trinity SA;GTRINITY;GTY
Grupa Żywiec SA;ZYWIEC;ZWC
Harper Hygienics SA;HARPER;HRP
Helio SA;HELIO;HEL
Hemp & Health SA;HEMP;HMP
Herkules SA;HERKULES;HRS
HM Inwest SA;HMINWEST;HMI
Hollywood SA;HOLLYWOOD;HLD
Hornigold Reit SA;HORNIGOLD;HRL
Hortico SA;HORTICO;HOR
Hub.Tech SA;HUBTECH;HUB
Hub4Fintech SA;H4F;H4F
Hurtimex SA;HURTIMEX;HRT
Huuuge, Inc.;HUUUGE-S144;HUGE
Hydrapres SA;HYDRAPRES;HPS
Hydropress SE;AERFINANC;AER
Hydrotor SA;HYDROTOR;HDR
i2 Development SA;I2DEV;I2D
IBC Polska F&P SA;IBCPOLSKA;IBC
ICPD;ICPD;ICD
IDH Development SA;IDH;IDH
IDM SA;IDMSA;IDM
iFirma SA;IFIRMA;IFI
Igoria Trade SA;IGORIA;IGT
Image Power SA;;
IMC SA;IMCOMPANY;IMC
Immofinanz AG;IIAAV;IIA
Impel SA;IMPEL;IPL
Impera Capital SA;IMPERA;IMP
IMS SA;IMS;IMS
INC SA;INC;INC
Incana SA;INCANA;ICA
Incuvo SA;INCUVO;IVO
Indos SA;INDOS;INS
IndygoTech Minerals SA w likwidacji;INDYGO;IDG
InfoScan SA;INFOSCAN;IST
Infra SA;INFRA;IFA
ING BANK HIPOTECZNY SA;;
ING Bank Śląski SA;INGBSK;ING
Inkaso WEC SA;KANCELWEC;KPI
Inno-Gene SA;INNOGENE;IGN
Inpro SA;INPRO;INP
Instal Kraków SA;INSTALKRK;INK
InteliWise SA;INTELIWIS;ITL
Intelligent Gaming Solutions SA;INTELGSOL;IGS
Inter Cars SA;INTERCARS;CAR
Inter Rao Lietuva AB;INTERAOLT;IRL
Interbud-Lublin SA;INTERBUD;ITB
Interferie SA;INTERFERI;INF
Interma Trade SA w likwidacji;ITMTRADE;ITM
International Personal Finance plc;PROVIDENT;IPF
Internet Union SA;IU;IUS
Internity SA;INTERNITY;INT
Intersport Polska SA;INTERSPPL;IPO
Introl SA;INTROL;INL
InventionMed SA;INVENTION;INM
Investeko SA;INVESTEKO;IVE
Investment Friends Capital SE;IFCAPITAL;IFC
Investment Friends SE;IFSA;IFR
Invista SA;INVISTA;INV
Inwestycje.pl SA;INWESTPL;INW
IPO Doradztwo Kapitałowe SA;IPODS;IOD
Ipopema Securities SA;IPOPEMA;IPE
ISiAG SA;ISIAG;ISG
Izoblok SA;IZOBLOK;IZB
Izolacja Jarocin SA;IZOLACJA;IZO
